ID,chapter,file_name,en-title,en-content,tc-title,tc-content,cn-title,cn-content,es-title,es-content,fr-title,fr-content,pl-title,pl-content
11,H_chapter1,1-1Simple column-ar epithelium.ewi,Simple column-ar epithelium,"Simple columnar epithelium is a single layer of columnar epithelial cells which are tall and slender with oval-shaped nuclei located in the basal region, attached to the basement membrane. In humans, simple columnar epithelium lines most organs of the digestive tract including the stomach, and intestines. Simple columnar epithelium also lines the uterus.", ,簡單柱狀上皮是一層單一的柱狀上皮細胞，這些細胞高而纖細，其橢圓形的細胞核位於基底區域，附著在基底膜上。在人體中，簡單柱狀上皮覆蓋著大部分消化道器官，包括胃和腸道。簡單柱狀上皮還覆蓋著子宮。, ,简单柱状上皮是一层单一的柱状上皮细胞，这些细胞高而纤细，其椭圆形的细胞核位于基底区域，附着在基底膜上。在人体中，简单柱状上皮覆盖着大部分消化道器官，包括胃和肠道。简单柱状上皮还覆盖着子宫。, ,, ,"L'épithélium cylindrique simple est une couche unique de cellules épithéliales cylindriques hautes et minces avec des noyaux de forme ovale situés dans la région basale, attachés à la membrane basale. Chez l'homme, un épithélium cylindrique simple tapisse la plupart des organes du tube digestif, y compris l'estomac et les intestins. L'épithélium cylindrique simple tapisse également l'utérus.", ,"Prosty nabłonek walcowaty to pojedyncza warstwa komórek nabłonkowych walcowatych, które są wysokie i smukłe, z jądrami w kształcie owalu znajdującymi się w regionie podstawowym, przytwierdzonym do błony podstawnej. U ludzi prosty nabłonek walcowaty wyściela większość narządów przewodu pokarmowego, w tym żołądek i jelita. Prosty nabłonek walcowaty wyściela również macicę."
19,H_chapter1,"1-27Human Epithe- lical body ,sec.ewi","Human Epithe- lical body ,sec",Human Epithe lical body sec, ,人體上皮組織, ,人体上皮组织, ,, ,Corps épithélial humain en coupe transversale, ,Ludzka tkanka nabłonkowa
22,H_chapter1,1-2Stratfied pave-ment epithelium .ewi,Stratfied pave-ment epithelium ,"The human body is composed of four basic types of tissues, epithelium being one of them. It is present on almost every part of the human body, hence it has several important functions. For example, it has roles in protection, absorption, secretion, and sensation. Its dominant presence also suggests that there are various types of epithelia in order to cater for the varied human body structures.The main classifications of epithelium are simple and stratified, each one being further divided into several subtypes according to two main factors: cell shape and apical surface specialization.", ,, ,, ,, ,"Le corps humain est composé de quatre types de tissus de base, l'épithélium étant l'un d'entre eux. Il est présent sur presque toutes les parties du corps humain, il a donc plusieurs fonctions importantes. Par exemple, il a des rôles dans la protection, l'absorption, la sécrétion et la sensation. Sa présence dominante suggère également qu'il existe différents types d'épithéliums afin de répondre aux diverses structures du corps humain. Les principales classifications des épithéliums sont simples et stratifiées, chacune étant ensuite divisée en plusieurs sous-types selon deux facteurs principaux : la forme des cellules et spécialisation de surface apicale.", ,"Ludzkie ciało składa się z czterech podstawowych rodzajów tkanek, z których jedną z nich jest nabłonek. Jest on obecny praktycznie na każdej części ludzkiego ciała, dlatego ma kilka istotnych funkcji. Na przykład, pełni rolę ochronną, absorpcyjną, wydzielniczą i czuciową. Jego dominująca obecność sugeruje również, że istnieje wiele różnych typów nabłonków, aby sprostać zróżnicowanym strukturom ciała człowieka. Główne klasyfikacje nabłonka to proste i wielowarstwowe, z których każdy jest dalej dzielony na kilka podtypów w zależności od dwóch głównych czynników: kształtu komórek i specjalizacji powierzchni apikalnej."
33,H_chapter1,1-3Simple cubboideal epithelium.ewi,Simple cubboideal epithelium,"Simple cuboidal epithelium is a single layer of epithelium composed of polyhedral cells. The nucleus is round and located in the center of the cell. The height and width of the cells seen on the side of the tissue are similar. The simple cuboidal epithelium is mainly responsible for the functions of substance secretion, absorption and secretion conduction in the body. This kind of epithelial tissue appears in the glandular part of most glands and the tube wall of their delivery, such as: thyroid gland, digestive gland, renal tubule, etc.", ,單層立方上皮是由多面體細胞組成的單層上皮。 細胞核呈圓形，位於細胞中央。 在組織側面看到的細胞的高度和寬度是相似的。 單層立方上皮主要負責體內物質的分泌、吸收及分泌傳導功能。 這種上皮組織出現在大多數腺體的腺體部分及其輸送管壁，如：甲狀腺、消化腺、腎小管等。, ,单层立方上皮是由多面体细胞组成的单层上皮。 细胞核呈圆形，位于细胞中央。 在组织侧面看到的细胞的高度和宽度是相似的。 单层立方上皮主要负责体内物质的分泌、吸收和分泌传导功能。 这种上皮组织出现在大多数腺体的腺体部分及其输送管壁，如：甲状腺、消化腺、肾小管等。, ,, ,"L'épithélium cubique simple est une seule couche d'épithélium composée de cellules polyédriques. Le noyau est rond et situé au centre de la cellule. La hauteur et la largeur des cellules vues sur le côté du tissu sont similaires. L'épithélium cubique simple est principalement responsable des fonctions de sécrétion de substance, d'absorption et de conduction de la sécrétion dans le corps. Ce type de tissu épithélial apparaît dans la partie glandulaire de la plupart des glandes et la paroi du tube de leur livraison, tels que : glande thyroïde, glande digestive, tubule rénal, etc.", ,"Prosty nabłonek sześcienny to pojedyncza warstwa nabłonka składająca się z komórek wielościanowych. Jądro jest okrągłe i znajduje się w centrum komórki. Wysokość i szerokość komórek widocznych po bokach tkanki są podobne. Prosty nabłonek sześcienny głównie odpowiada za funkcje wydzielania substancji, absorpcji i przewodzenia wydzielania w organizmie. Ten rodzaj tkanki nabłonkowej występuje w części gruczołowej większości gruczołów oraz w ścianie cewki ich przewodu, takich jak: gruczoł tarczowy, gruczoł trawienny, kanalik nerkowy, itp."
52,H_chapter1,10-1Simple squam-ous epithelium sec.ewi,Simple squam-ous epithelium sec,"A simple squamous epithelium, also known as pavement epithelium and tessellated epithelium, is a single layer of flattened, polygonal cells in contact with the basal lamina (one of the two layers of the basement membrane) of the epithelium. This type of epithelium is often permeable and occurs where small molecules need to pass quickly through membranes via filtration or diffusion. Simple squamous epithelia are found in endothelium (lining of blood and lymph capillaries), mesothelium (coelomic epithelium/peritoneum), alveoli of lungs, glomeruli, and other tissues where rapid diffusion is required. Within the cardiovascular system such as lining capillaries or the inside of the heart, simple squamous epithelium is specifically called the endothelium. Cells are flat with flattened and oblong nuclei. It is also called pavement epithelium due to its tile-like appearance. This epithelium is associated with filtration and diffusion. This tissue is extremely thin, and forms a delicate lining. It offers very little protection.", ,單層鱗狀上皮，也稱為路面上皮和棋盤狀上皮，是與上皮基底層（基底膜的兩層之一）接觸的單層扁平多邊形細胞。 這種類型的上皮通常是可滲透的，並且發生在小分子需要透過過濾或擴散快速穿過膜的地方。 單層鱗狀上皮存在於內皮（血液和淋巴毛細血管的內層）、間皮（體腔上皮/腹膜）、肺泡、腎小球和其他需要快速擴散的組織中。 在心血管系統內，例如內層毛細血管或心臟內部，單層鱗狀上皮被專門稱為內皮。 細胞呈扁平狀，細胞核扁平且呈橢圓形。 由於其類似瓷磚的外觀，它也被稱為路面上皮。 該上皮與過濾和擴散有關。 這種組織非常薄，形成一層精緻的襯裡。 它提供的保護非常少。, ,单层鳞状上皮，也称为路面上皮和棋盘状上皮，是与上皮基底层（基底膜的两层之一）接触的单层扁平多边形细胞。 这种类型的上皮通常是可渗透的，并且发生在小分子需要通过过滤或扩散快速穿过膜的地方。 单层鳞状上皮存在于内皮（血液和淋巴毛细血管的内层）、间皮（体腔上皮/腹膜）、肺泡、肾小球和其他需要快速扩散的组织中。 在心血管系统内，例如内层毛细血管或心脏内部，单层鳞状上皮被专门称为内皮。 细胞呈扁平状，细胞核扁平且呈椭圆形。 由于其类似瓷砖的外观，它也被称为路面上皮。 该上皮与过滤和扩散有关。 这种组织非常薄，形成一层精致的衬里。 它提供的保护非常少。, ,, ,"Un épithélium pavimenteux simple, également connu sous le nom d'épithélium de chaussée et d'épithélium tessellé, est une couche unique de cellules polygonales aplaties en contact avec la lame basale (l'une des deux couches de la membrane basale) de l'épithélium. Ce type d'épithélium est souvent perméable et se produit là où de petites molécules doivent traverser rapidement les membranes par filtration ou diffusion. Les épithéliums squameux simples se trouvent dans l'endothélium (revêtement des capillaires sanguins et lymphatiques), le mésothélium (épithélium coelomique/péritoine), les alvéoles pulmonaires, les glomérules et d'autres tissus où une diffusion rapide est requise. Dans le système cardiovasculaire, comme les capillaires qui tapissent ou l'intérieur du cœur, l'épithélium pavimenteux simple est spécifiquement appelé l'endothélium. Les cellules sont plates avec des noyaux aplatis et oblongs. Il est également appelé épithélium de chaussée en raison de son aspect en forme de tuile. Cet épithélium est associé à la filtration et à la diffusion. Ce tissu est extrêmement fin et forme une doublure délicate. Il offre très peu de protection.", ,"Płaski nabłonek jednowarstwowy, znany także jako nabłonek płaski i nabłonek płytkowy, to pojedyncza warstwa spłaszczonych, wielobocznych komórek stykających się z blaszką podstawną (jedną z dwóch warstw błony podstawnej) nabłonka. Ten rodzaj nabłonka jest często przepuszczalny i występuje tam, gdzie małe cząsteczki muszą szybko przechodzić przez błony poprzez filtrację lub dyfuzję. Płaski nabłonek jednowarstwowy występuje w śródbłonku (wyściółka naczyń krwionośnych i limfatycznych), mezotelium (nabłonek otrzewnej/woreczka otrzewnej), pęcherzykach płucnych, kłębuszkach nerkowych i innych tkankach, gdzie wymagana jest szybka dyfuzja. W obrębie układu krążenia, takiego jak wyściółka naczyń włosowatych lub wnętrze serca, płaski nabłonek jednowarstwowy jest specyficznie nazywany śródbłonkiem. Komórki są płaskie z płaskimi i owalnymi jądrami. Jest także nazywany nabłonkiem płytkowym ze względu na swój wygląd podobny do płytek. Ten nabłonek jest związany z filtracją i dyfuzją. Ten rodzaj tkanki jest bardzo cienki i tworzy delikatne wyściółki. Oferuje bardzo małą ochronę."
53,H_chapter1,10-2Squamous epith-elium from Hu-man mouth sec.ewi,Squamous epith-elium from Hu-man mouth sec,"A simple squamous epithelium, also known as pavement epithelium and tessellated epithelium, is a single layer of flattened, polygonal cells in contact with the basal lamina (one of the two layers of the basement membrane) of the epithelium. This type of epithelium is often permeable and occurs where small molecules need to pass quickly through membranes via filtration or diffusion. Simple squamous epithelia are found in endothelium (lining of blood and lymph capillaries), mesothelium (coelomic epithelium/peritoneum), alveoli of lungs, glomeruli, and other tissues where rapid diffusion is required. Within the cardiovascular system such as lining capillaries or the inside of the heart, simple squamous epithelium is specifically called the endothelium. Cells are flat with flattened and oblong nuclei. It is also called pavement epithelium due to its tile-like appearance. This epithelium is associated with filtration and diffusion. This tissue is extremely thin, and forms a delicate lining. It offers very little protection.", ,單層鱗狀上皮，也稱為路面上皮和棋盤狀上皮，是與上皮基底層（基底膜的兩層之一）接觸的單層扁平多邊形細胞。 這種類型的上皮通常是可滲透的，並且發生在小分子需要透過過濾或擴散快速穿過膜的地方。 單層鱗狀上皮存在於內皮（血液和淋巴毛細血管的內層）、間皮（體腔上皮/腹膜）、肺泡、腎小球和其他需要快速擴散的組織中。 在心血管系統內，例如內層毛細血管或心臟內部，單層鱗狀上皮被專門稱為內皮。 細胞呈扁平狀，細胞核扁平且呈橢圓形。 由於其類似瓷磚的外觀，它也被稱為路面上皮。 該上皮與過濾和擴散有關。 這種組織非常薄，形成一層精緻的襯裡。 它提供的保護非常少。, ,单层鳞状上皮，也称为路面上皮和棋盘状上皮，是与上皮基底层（基底膜的两层之一）接触的单层扁平多边形细胞。 这种类型的上皮通常是可渗透的，并且发生在小分子需要通过过滤或扩散快速穿过膜的地方。 单层鳞状上皮存在于内皮（血液和淋巴毛细血管的内层）、间皮（体腔上皮/腹膜）、肺泡、肾小球和其他需要快速扩散的组织中。 在心血管系统内，例如内层毛细血管或心脏内部，单层鳞状上皮被专门称为内皮。 细胞呈扁平状，细胞核扁平且呈椭圆形。 由于其类似瓷砖的外观，它也被称为路面上皮。 该上皮与过滤和扩散有关。 这种组织非常薄，形成一层精致的衬里。 它提供的保护非常少。, ,, ,"Un épithélium pavimenteux simple, également connu sous le nom d'épithélium de chaussée et d'épithélium tessellé, est une couche unique de cellules polygonales aplaties en contact avec la lame basale (l'une des deux couches de la membrane basale) de l'épithélium. Ce type d'épithélium est souvent perméable et se produit là où de petites molécules doivent traverser rapidement les membranes par filtration ou diffusion. Les épithéliums squameux simples se trouvent dans l'endothélium (revêtement des capillaires sanguins et lymphatiques), le mésothélium (épithélium coelomique/péritoine), les alvéoles pulmonaires, les glomérules et d'autres tissus où une diffusion rapide est requise. Dans le système cardiovasculaire, comme les capillaires qui tapissent ou l'intérieur du cœur, l'épithélium pavimenteux simple est spécifiquement appelé l'endothélium. Les cellules sont plates avec des noyaux aplatis et oblongs. Il est également appelé épithélium de chaussée en raison de son aspect en forme de tuile. Cet épithélium est associé à la filtration et à la diffusion. Ce tissu est extrêmement fin et forme une doublure délicate. Il offre très peu de protection.", ,"Płaski nabłonek jednowarstwowy, nazywany również nabłonkiem płaskim, nabłonkiem drobnopłytkowym lub nabłonkiem kostkowatym, to pojedyncza warstwa spłaszczonych, wielokątnych komórek stykających się z blaszką podstawną (jedną z dwóch warstw błony podstawnej) nabłonka. Ten rodzaj nabłonka jest często przepuszczalny i występuje tam, gdzie małe cząsteczki muszą szybko przechodzić przez błony poprzez filtrację lub dyfuzję. Płaski nabłonek jednowarstwowy występuje w śródbłonku (wyściółka naczyń krwionośnych i limfatycznych), mezotelium (nabłonek otrzewnej/woreczka otrzewnej), pęcherzykach płucnych, kłębuszkach nerkowych i innych tkankach, gdzie wymagana jest szybka dyfuzja. W obrębie układu krążenia, takiego jak wyściółka naczyń włosowatych lub wnętrze serca, płaski nabłonek jednowarstwowy jest specyficznie nazywany śródbłonkiem. Komórki są płaskie, z płaskimi i wydłużonymi jądrami. Jest także nazywany nabłonkiem drobnopłytkowym ze względu na swój wygląd podobny do płytek. Ten rodzaj nabłonka jest związany z filtracją i dyfuzją. Ta tkanka jest niezwykle cienka i tworzy delikatne wyściółki, oferując bardzo małą ochronę."
54,H_chapter1,10-3Pseudostratified columnar ciliated epithelium sec.ewi,Pseudostried columnar ciliated epithelium sec,"A pseudostratified epithelium is a type of epithelium that, though comprising only a single layer of cells, has its cell nuclei positioned in a manner suggestive of stratified epithelia. As it rarely occurs as squamous or cuboidal epithelia, it is usually considered synonymous with the term pseudostratified columnar epithelium.The term pseudostratified is derived from the appearance of this epithelium in the section which conveys the erroneous (pseudo means almost or approaching) impression that there is more than one layer of cells, when in fact this is a true simple epithelium since all the cells rest on the basement membrane. The nuclei of these cells, however, are disposed at different levels, thus creating the illusion of cellular stratification. All cells are not of equal size and not all cells extend to the luminal/apical surface; such cells are capable of cell division providing replacements for cells lost or damaged.", ,假複層上皮是一種上皮，雖然僅包含單層細胞，但其細胞核以暗示複層上皮的方式定位。 由於它很少以鱗狀或立方狀上皮的形式出現，因此通常被認為與假複層柱狀上皮一詞同義。假複層柱狀上皮一詞源自該上皮在切片中的出現，它傳達了錯誤的（假意味著幾乎或接近）印象：是不只一層細胞，而實際上這是真正的簡單上皮，因為所有細胞都位於基底膜上。 然而，這些細胞的細胞核分佈在不同的水平，產生細胞分層的錯覺。 所有細胞的大小並不相同，並且並非所有細胞都延伸到管腔/頂端表面； 這些細胞能夠進行細胞分裂，為丟失或損壞的細胞提供替代品。, ,假复层上皮是一种上皮，虽然仅包含单层细胞，但其细胞核以暗示复层上皮的方式定位。 由于它很少以鳞状或立方状上皮的形式出现，因此通常被认为与假复层柱状上皮一词同义。术语假复层柱状上皮源自该上皮在切片中的出现，它传达了错误的（假意味着几乎或接近）印象： 是不止一层细胞，而实际上这是真正的简单上皮，因为所有细胞都位于基底膜上。 然而，这些细胞的细胞核分布在不同的水平，从而产生细胞分层的错觉。 所有细胞的大小并不相同，并且并非所有细胞都延伸到管腔/顶端表面； 这些细胞能够进行细胞分裂，为丢失或损坏的细胞提供替代品。, ,, ,"Un épithélium pseudostratifié est un type d'épithélium qui, bien que ne comprenant qu'une seule couche de cellules, a ses noyaux cellulaires positionnés d'une manière évocatrice d'épithélium stratifié. Comme il se présente rarement sous forme d'épithélium pavimenteux ou cuboïde, il est généralement considéré comme synonyme du terme épithélium cylindrique pseudostratifié. Le terme pseudostratifié est dérivé de l'apparition de cet épithélium dans la section qui donne l'impression erronée (pseudo signifie presque ou approcher) est plus d'une couche de cellules, alors qu'il s'agit en fait d'un véritable épithélium simple puisque toutes les cellules reposent sur la membrane basale. Les noyaux de ces cellules sont cependant disposés à différents niveaux, créant ainsi l'illusion d'une stratification cellulaire. Toutes les cellules ne sont pas de taille égale et toutes les cellules ne s'étendent pas jusqu'à la surface luminale/apicale ; ces cellules sont capables de division cellulaire en remplaçant les cellules perdues ou endommagées.", ,"Nabłonek rzekomywarstwowy to rodzaj nabłonka, który, choć składa się z pojedynczej warstwy komórek, ma jądra komórkowe ułożone w sposób sugerujący nabłonki wielowarstwowe. Ponieważ rzadko występuje jako nabłonek płaski lub sześcienny, zazwyczaj uważa się go za synonim terminu nabłonek rzekomywarstwowy walcowaty. Termin rzekomywarstwowy"" pochodzi od wyglądu tego nabłonka w przekroju, który sugeruje (pseudo oznacza niemal lub zbliżający się) fałszywe wrażenie, że istnieje więcej niż jedna warstwa komórek, podczas gdy w rzeczywistości jest to prawdziwy nabłonek jednowarstwowy, ponieważ wszystkie komórki spoczywają na błonie podstawnej. Jednak jądra tych komórek są rozmieszczone na różnych poziomach, tworząc iluzję stratyfikacji komórkowej. Wszystkie komórki nie są jednakowej wielkości, i nie wszystkie komórki sięgają do powierzchni światła/ wierzchołkowej"
55,H_chapter1,10-4Transitional epith-elium(vaesica urin-aris relaxing) sec.ewi,Transitional epith-elium(vaesica urin-aris relaxing) sec,Transitional epithelium is a type of stratified epithelium.Transitional epithelium is a type of tissue that changes shape in response to stretching (stretchable epithelium). The transitional epithelium usually appears cuboidal when relaxed and squamous when stretched. This tissue consists of multiple layers of epithelial cells which can contract and expand in order to adapt to the degree of distension needed. Transitional epithelium lines the organs of the urinary system and is known here as urothelium. The bladder for example has a need for great distension., ,移行上皮是一種複層上皮。移行上皮是一種響應拉伸而改變形狀的組織（可拉伸上皮）。 移行上皮在鬆弛時通常呈立方形，拉伸時呈鱗狀。 該組織由多層上皮細胞組成，可收縮和擴張以適應所需的擴張程度。 移行上皮排列在泌尿系統的器官上，稱為尿路上皮。 例如，膀胱需要大量擴張。, ,移行上皮是一种复层上皮。移行上皮是一种响应拉伸而改变形状的组织（可拉伸上皮）。 移行上皮在松弛时通常呈立方形，在拉伸时呈鳞状。 该组织由多层上皮细胞组成，可以收缩和扩张以适应所需的扩张程度。 移行上皮排列在泌尿系统的器官上，在此称为尿路上皮。 例如，膀胱需要大量扩张。, ,, ,L'épithélium de transition est un type d'épithélium stratifié. L'épithélium de transition est un type de tissu qui change de forme en réponse à l'étirement (épithélium extensible). L'épithélium de transition apparaît généralement cubique lorsqu'il est détendu et squameux lorsqu'il est étiré. Ce tissu est constitué de plusieurs couches de cellules épithéliales qui peuvent se contracter et se dilater afin de s'adapter au degré de distension nécessaire. L'épithélium de transition tapisse les organes du système urinaire et est connu ici sous le nom d'urothélium. La vessie par exemple a besoin d'une grande distension., ,"Nabłonek przejściowy to rodzaj nabłonka wielowarstwowego. Nabłonek przejściowy to rodzaj tkanki, która zmienia kształt w odpowiedzi na rozciąganie (elastyczny nabłonek). Nabłonek przejściowy zazwyczaj wygląda kubiczny, gdy jest rozluźniony, i płaski, gdy jest rozciągnięty. Ta tkanka składa się z wielu warstw komórek nabłonkowych, które mogą się kurczyć i rozszerzać, aby dostosować się do stopnia rozciągania. Nabłonek przejściowy wyściela narządy układu moczowego i jest tu znany jako urotelium. Pęcherz moczowy na przykład wymaga dużej zdolności do rozciągania."
56,H_chapter1,10-5Transitional epith-elium(vesica urin-aris dilating)sec.ewi,Transitional epith-elium(vesica urin-aris dilating)sec,Transitional epithelium is a type of stratified epithelium.Transitional epithelium is a type of tissue that changes shape in response to stretching (stretchable epithelium). The transitional epithelium usually appears cuboidal when relaxed and squamous when stretched. This tissue consists of multiple layers of epithelial cells which can contract and expand in order to adapt to the degree of distension needed. Transitional epithelium lines the organs of the urinary system and is known here as urothelium. The bladder for example has a need for great distension., ,移行上皮是一種複層上皮。移行上皮是一種響應拉伸而改變形狀的組織（可拉伸上皮）。 移行上皮在鬆弛時通常呈立方形，拉伸時呈鱗狀。 該組織由多層上皮細胞組成，可收縮和擴張以適應所需的擴張程度。 移行上皮排列在泌尿系統的器官上，稱為尿路上皮。 例如，膀胱需要大量擴張。, ,移行上皮是一种复层上皮。移行上皮是一种响应拉伸而改变形状的组织（可拉伸上皮）。 移行上皮在松弛时通常呈立方形，在拉伸时呈鳞状。 该组织由多层上皮细胞组成，可以收缩和扩张以适应所需的扩张程度。 移行上皮排列在泌尿系统的器官上，在此称为尿路上皮。 例如，膀胱需要大量扩张。, ,, ,L'épithélium de transition est un type d'épithélium stratifié. L'épithélium de transition est un type de tissu qui change de forme en réponse à l'étirement (épithélium extensible). L'épithélium de transition apparaît généralement cubique lorsqu'il est détendu et squameux lorsqu'il est étiré. Ce tissu est constitué de plusieurs couches de cellules épithéliales qui peuvent se contracter et se dilater afin de s'adapter au degré de distension nécessaire. L'épithélium de transition tapisse les organes du système urinaire et est connu ici sous le nom d'urothélium. La vessie par exemple a besoin d'une grande distension., ,"Nabłonek przejściowy to rodzaj nabłonka wielowarstwowego. Nabłonek przejściowy to rodzaj tkanki, która zmienia kształt w odpowiedzi na rozciąganie (elastyczny nabłonek). Nabłonek przejściowy zazwyczaj wygląda kubiczny, gdy jest rozluźniony, i płaski, gdy jest rozciągnięty. Ta tkanka składa się z wielu warstw komórek nabłonkowych, które mogą się kurczyć i rozszerzać, aby dostosować się do stopnia rozciągania. Nabłonek przejściowy wyściela narządy układu moczowego i jest tu znany jako urotelium. Pęcherz moczowy na przykład wymaga dużej zdolności do rozciągania."
57,H_chapter1,10-6Simple cuboidal epithelium sec.ewi,Simple cuboidal epithelium sec,"Simple cuboidal epithelium is a single layer of epithelium composed of polyhedral cells. The nucleus is round and located in the center of the cell. The height and width of the cells seen on the side of the tissue are similar. The simple cuboidal epithelium is mainly responsible for the functions of substance secretion, absorption and secretion conduction in the body. This kind of epithelial tissue appears in the glandular part of most glands and the tube wall of their delivery, such as: thyroid gland, digestive gland, renal tubule, etc.", ,單層立方上皮是由多面體細胞組成的單層上皮。 細胞核呈圓形，位於細胞中央。 在組織側面看到的細胞的高度和寬度是相似的。 單層立方上皮主要負責體內物質的分泌、吸收及分泌傳導功能。 這種上皮組織出現在大多數腺體的腺體部分及其輸送管壁，如：甲狀腺、消化腺、腎小管等。, ,单层立方上皮是由多面体细胞组成的单层上皮。 细胞核呈圆形，位于细胞中央。 在组织侧面看到的细胞的高度和宽度是相似的。 单层立方上皮主要负责体内物质的分泌、吸收和分泌传导功能。 这种上皮组织出现在大多数腺体的腺体部分及其输送管壁，如：甲状腺、消化腺、肾小管等。, ,, ,"L'épithélium cubique simple est une seule couche d'épithélium composée de cellules polyédriques. Le noyau est rond et situé au centre de la cellule. La hauteur et la largeur des cellules vues sur le côté du tissu sont similaires. L'épithélium cubique simple est principalement responsable des fonctions de sécrétion de substance, d'absorption et de conduction de la sécrétion dans le corps. Ce type de tissu épithélial apparaît dans la partie glandulaire de la plupart des glandes et la paroi du tube de leur livraison, tels que : glande thyroïde, glande digestive, tubule rénal, etc.", ,"Nabłonek jednowarstwowy sześcienny to pojedyncza warstwa nabłonka zbudowanego z komórek wielościanu foremnego. Jądro jest okrągłe i znajduje się w centrum komórki. Wysokość i szerokość komórek widocznych po bokach tkanki są podobne. Nabłonek jednowarstwowy sześcienny głównie odpowiada za funkcje wydzielania substancji, absorpcji i przewodzenia wydzielania w organizmie. Ten rodzaj tkanki nabłonkowej występuje głównie w części gruczołowej większości gruczołów oraz w ścianie rurki ich przewodzenia, takich jak: gruczoł tarczowy, gruczoł trawienny, kanalik nerkowy, itp."
